Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sweden,SWE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,72500681527.1942,77851283957.8568,81357498886.733,89586459946.1205,105804623020.194,122003609516.555,110458839101.259,96518342242.4785,88153191216.5042,92123826704.1,96109714966.0826,127839312300.394,156159516442.123,175923241934.6,184272166369.408,219795869048.114,228785222737.746,233145100415.581,171853247330.814,189869632652.555,223826209651.079,243620338456.049,223331282590.433,226160501275.725,232134216370.059,222027905098.026,203355468496.913,223889286670.34,286522283563.305,326747434965.425,335249772071.934,367328308218.702,428583877503.817,450366238033.956,369325809203.493,423786780953.711,488078480364.854,470536872562.006,500080240620.801,495514182187.217,425025439105.011,432747589460.25,459032738907.882,470799099793.76,458007910571.367,469238771521.351,539858010828.979,..,..,..
Sweden,SWE,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,4.48492858672591,0.461510030119143,-3.93353576387997,0.274151060643234,2.89358516988925,0.921306314447648,-0.183162779253308,-0.59046273429361,0.775916286403628,5.39928014102667,1.19486872426747,5.08387290362644,2.90068006422641,1.91167799777318,1.19701800563834,-0.934005886546572,-1.83466261022176,-3.3607801814305,-4.53542303456615,6.16025561849027,5.47726542717244,0.42627798817972,2.44867167045125,4.26242585147796,4.34409773986575,3.57460051147159,-0.113656256586069,0.851237923338189,3.5572007120999,2.29620230549176,2.5094317061759,5.8214586703168,3.86083040837543,-1.65254856125661,-7.33093493349337,5.84746551212389,1.38641338811989,-1.28785306581965,0.220817407527974,1.67370573852827,2.47789426491178,0.564122572175947,1.95275442836005,0.034019856694826,2.4535682406356,-2.68778121288132,3.90671813136998,..,..,..
Sweden,SWE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,25705.0571880571,25823.6886052278,24807.9045783882,24875.9157119132,25595.7215198273,25831.5365184179,25784.2227582069,25631.9765314925,25830.8592119275,27225.5396636136,27550.8491220672,28951.4992753029,29791.2896430763,30360.8031724359,30724.2274530664,30437.2613600588,29878.8403063103,28874.6781628546,27565.0893582996,29263.1693242361,30865.9907805274,30997.5657050584,31756.5943150077,33110.1956006396,34548.5348593921,35783.5069631818,35742.8367686923,36047.0933501442,37329.3608114869,38186.5184550656,39144.7830566617,41423.5804238905,43022.8746131339,42311.9007177033,39210.0428069642,41502.8365373904,42078.2374195943,41536.3315489432,41628.0509994518,42324.7820778671,43373.545425611,43618.2253857098,44469.9822135013,44485.1108377226,45576.5833890485,44351.5845432445,46084.2759381453,..,..,..
Sweden,SWE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,8849.70876519334,9468.32595677854,9859.67454399215,10825.3746884208,12757.2619795697,14680.6033834126,13275.5001832532,11593.4286090996,10583.844633165,11050.5207700377,11509.6134437477,15273.8260602927,18595.2799615379,20852.6606191983,21697.038439043,25680.5825849095,26549.2940411374,26897.0118038521,19711.1940067649,21623.4081108784,25357.1719087533,27555.7508842383,25246.4071120497,25552.0467324528,26206.5385407445,25025.3806730763,22859.3056282754,25085.752411422,31984.2553213704,36331.3847437036,37127.9803817871,40452.4096642975,46849.5373137718,48848.5867755917,39718.7947971792,45188.8555297413,51652.8181092811,49429.3923699191,52089.6352759408,51104.4307652468,43373.545425611,43610.186697005,45639.9405617351,46269.2086666443,44558.1229340654,45322.0070698567,51830.6266145746,..,..,..
Sweden,SWE,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.4301486752998,12.7154616637046,9.2984214163207,6.61271223918076,13.6271017779321,17.1113626070792,16.9019184118,16.9184017260975,16.9326802801031,17.0235163222635,17.5812351629117,17.2213280841911,16.0814501249221,17.5855361390812,18.3886552111997,18.5039817432066,20.6553161141403,21.7742644968422,20.6828727728422,15.4795651170053,17.4227857247695,17.560707108597,17.1834804778281,16.9285379566018,17.1970242083055,17.4871912561563,17.3232227348877,18.2927579617704,18.0783217634771,19.6677529703243,19.6505842148334,19.7627788076617,..,..,..
Sweden,SWE,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39412419609.2021,33787730219.7027,25297552915.4645,13396668186.629,30180251019.016,44460661222.073,48000188080.8621,44183577558.9436,44875362057.5721,46582405532.6461,46237754276.6738,41775663092.4831,43035943072.4939,59785668757.8112,71218086334.4486,73564240744.9431,89659418827.963,110170568375.336,110769145850.151,69158796815.6048,88730982930.1653,102873767796.747,97109695688.0389,101574892053.756,102192852987.427,89033542069.6597,89843435369.2303,100684837616.789,102397124704.336,108082789314.431,111242342536.816,129222750938.125,..,..,..
Sweden,SWE,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.3675161447174,12.6519703041547,9.24030149787194,6.55827464183503,13.5776599942035,17.0670188159111,16.8602208172925,16.8799516026475,16.8976763567019,16.9914340773829,17.5520590836342,17.1934916861239,16.0550175200413,17.561497298715,18.3663601977456,18.4832376164252,20.6356540576191,21.7547991678553,20.6628789655271,15.4583288074034,17.4031954628296,17.5426972516073,17.1666474542492,16.913627164643,17.184419810534,17.4759878619669,17.3126087782218,18.2827731028946,18.0683904804151,19.6581804324538,19.6410057135243,19.753713446822,..,..,..
Sweden,SWE,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39252440620.7654,33619019953.0611,25139430192.6313,13286383268.4079,30070751180.5267,44345442211.0744,47881770021.4373,44083162399.2194,44782593889.1498,46494617080.8871,46161022672.1027,41708137290.659,42965206163.1933,59703943746.0691,71131739172.3116,73481770606.4741,89574070893.7597,110072080256.096,110662067061.682,69063918334.8615,88631213397.0233,102768262828.493,97014566543.5464,101485424074.446,102117951693.293,88976501584.8117,89788388202.5265,100629880135.985,102340873087.428,108030184088.23,111188118453.095,129163475323.225,..,..,..
Sweden,SWE,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.253097591710947,0.261466839126389,0.27942792640338,0.391058708756793,0.386734285394816,0.342595571669224,0.356747497921721,0.363761768234335,0.37697731766319,0.371451153145756,0.376038697180716,0.420007879271647,0.406801964805816,0.341179749056057,0.305278970673794,0.29384274186953,0.27626913442552,0.239938251087409,0.231264892652241,0.265063613752381,0.27008078846045,0.226990251018737,0.231678107746489,0.218403984135222,0.221431924269075,0.267658818187629,0.268524757367084,0.260297820749338,0.249082937293866,0.259717954040394,0.242448294258335,0.22362343377079,..,..,..
Sweden,SWE,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,646473906.149614,694773910.334527,760219658.558466,792244327.77607,856509183.029411,890170233.542133,1013136294.97019,949989045.062565,999073586.566591,1016422689.87492,988962647.825868,1018859148.07858,1088652208.7974,1159911150.99458,1182325941.71955,1168198202.0967,1199213311.27628,1214008101.22047,1238561727.1626,1184237442.59925,1375470846.58109,1329749550.00502,1309291826.52325,1310471180.05805,1315853243.52941,1362746727.03852,1392650031.27631,1432700518.36486,1410826564.84905,1427262227.16332,1372504547.57439,1462205065.76171,..,..,..
Sweden,SWE,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,11.4194810526565,11.6394152903471,12.3720338219208,12.6099670721407,12.6523079140861,12.8596534075837,13.2034655930082,13.5837675825352,13.7989981550008,13.4203995893582,13.547371519411,13.2831857196698,13.2371685522952,13.3858984034343,13.6781439833022,13.8896098042007,13.8785932418378,14.2862159694566,15.144567987386,14.228266462904,13.8103238596188,14.2050687479118,14.4412452586887,14.6415586839331,15.1491427970018,15.5494743567002,16.1499064273971,16.3293508862468,15.7128592803137,15.5998808229175,15.6052612649175,15.2262147347231,15.1220169767626,15.7762141304953,17.2590930056907,16.4174424325688,16.2204911915995,16.5950252741591,16.5613668951793,16.5414153464925,16.4500047660241,16.4781446037028,16.4657434549725,16.7144001799024,16.5375504258243,16.993295322518,16.8603634442905,..,..,..
