Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sweden,SWE,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0599590366350719,0.0627011668732867,0.0753788090376812,0.127995991246868,0.145356823087445,0.0998666346048967,0.107429399663286,0.555730911888683,..,..,..
Sweden,SWE,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,356304959.619487,319234055.192496,390937140.370974,704500416.023853,823313188.859211,548810250.150519,608159937.903866,3633754034.01103,..,..,..
Sweden,SWE,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.0734051862045647,0.0702080707744759,0.0813363489466276,0.135653655785586,0.165515768884424,0.119056044921906,0.117260007673305,0.576044787987825,..,..,..
Sweden,SWE,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0,0,0,0,0,0,0,0,..,..,..
Sweden,SWE,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,0,0,0,0,0,0,0,0,..,..,..
Sweden,SWE,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,10.4535931016136,10.8157391067156,10.4675599524677,11.5603610747453,11.3881835841928,12.966909885343,12.9306754328214,13.4828299454766,..,..,..
Sweden,SWE,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,62120195336.3323,55066794241.941,54287909383.5751,63629173907.7671,64503623172.7176,71258765112.1807,73200807161.982,88160090893.1879,..,..,..
Sweden,SWE,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,0.0126043977714824,0.0112033941893573,0.0106139566659954,0.00998485887577901,0.00993128306199029,0.00957253787054915,0.00957850130915333,0.00906536083965554,..,..,..
Sweden,SWE,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,74901294.13402,57040484.8480153,55047166.7037278,54957480.8038991,56251616.9076684,52605226.2008817,54224083.7205157,59275614.8995044,..,..,..
Sweden,SWE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.25158848475017,1.30289041518333,1.27441325068162,1.31525688825892,1.27924121516752,1.29094538271318,1.19966667848375,1.11492008235868,1.04020128176122,0.993696150422338,..
Sweden,SWE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,10.0551151700747,3.39641324059193,-0.61700734560624,3.72342177716712,-9.1457464059813,8.12240780919676,-4.91712721827878,-3.5477714487328,-1.69369014375975,-10.5070562318771,..
Sweden,SWE,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,6321862030.78916,6536578589.85484,6496247419.80411,6738130110.93175,6121877818.48087,6619121700.47864,6293651065.73341,6070366710.14045,5967553507.48073,5340539304.78238,..
Sweden,SWE,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,53323900000,55135000000,54794813000,56835055000,51637065000,55831238000,53085945000,51202577000,50335364000,45046599000,..
Sweden,SWE,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,49609000000,55135000000,56109000000,60277000000,61305000000,64979000000,60235000000,60929000000,61010000000,61674000000,..
Sweden,SWE,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,7230805221.26841,6536578589.85484,6553264962.68878,7050880950.70757,7052616704.28842,6870014931.25254,6539954285.36968,7104124764.26142,6032082684.69025,5812729729.19205,..
Sweden,SWE,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,67767.7975621425,66963.1539878983,70613.2953067806,73966.2564621229,69934.0777791795,77031.7006419715,72654.6052282001,61042.1043191811,61816.5857100241,57601.3163422272,..
Sweden,SWE,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,..,..,..,..,..,..,..,..,-0.09,..,..
Sweden,SWE,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..,..,1.08,..,..
Sweden,SWE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,40.19,40.53,34.77,32,31.86,29.62,28.3,..,..,..,..
Sweden,SWE,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,..,..,8.72081,4.21016666666667,5.328725,5.8989525,4.5090275,3.708335,4.6958335,4.86666675,..
Sweden,SWE,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,5.60558774538325,5.63519438919293,5.38349189854714,5.65963915420548,5.66657186906629,5.66733402694746,5.64748038510123,..,..
